Time Taken(s), Train Losses
115703, 0.68240883306907885
350510, 0.67122247626254827
51247, 0.66055432261671077
321598, 0.6505008477290174
31078, 0.64102980195964698
319280, 0.63202289041344517
30940, 0.6232171587546349
320141, 0.61520211664981939
31135, 0.60731208214939769
318720, 0.59963124645572863
31045, 0.59249887152705383
319495, 0.58594115842682848
31135, 0.57934238089054024
319885, 0.5729246910556699
31077, 0.56710394788301188
319459, 0.56151754234327655
31054, 0.55578659493638194
319855, 0.55064746601830705
31063, 0.54563042206683376
319677, 0.54088233708368427
31146, 0.53653097017647733
319720, 0.53228934612423351
31072, 0.52794520041990589
319738, 0.52354475221640895
31035, 0.51947483851876608
319193, 0.5163499905168164
30999, 0.51301597391189191
319164, 0.50937232285879341
30924, 0.50612300451374237
319278, 0.50251949868366952
31110, 0.50015951052494023
318838, 0.49718059593860942
31071, 0.49423545656198142
319037, 0.4918497227693035
31007, 0.48881418110525549
319650, 0.48644002497251704
31004, 0.48425702310982122
319859, 0.48162647192311625
31048, 0.4796916989596624
319901, 0.47690570473078137
31043, 0.47543057145297918
319422, 0.47305897673920261
31032, 0.47132234294879877
320222, 0.47020417687189175
31090, 0.4678747302812456
319800, 0.4665006406970309
31063, 0.46467245757285414
320087, 0.46302609311912402
31054, 0.46089755479025807
319178, 0.45997280565984178
31085, 0.45865297293082141
319657, 0.45728883334446496
31076, 0.45640027375061748
319350, 0.45451954909976799
31109, 0.45261493347514914
319050, 0.45226614630681616
31034, 0.45153189286779127
319306, 0.44959608979483073
31112, 0.44895379790411793
319645, 0.44757523874886918
31124, 0.44652358118430291
319424, 0.4461997009480867
30929, 0.4455010270392894
317885, 0.44445121026112339
30843, 0.44305135827955078
317732, 0.44271738750643069
30999, 0.44141869547782564
318474, 0.44102501707831876
30845, 0.43967295590275979
317485, 0.4391601210108671
30883, 0.43929185635553436
317953, 0.43790731430969754
30947, 0.43746096662038414
319151, 0.43662563277184924
30897, 0.43665020851308467
318290, 0.43619193629604869
30917, 0.43515615556267978
318028, 0.4345314221943386
31068, 0.43412144584632578
318307, 0.43373056456393411
30905, 0.43263805102025349
317645, 0.43270620637441676
30985, 0.43312917670590007
317745, 0.43175865790618406
30878, 0.43114147711258488
318526, 0.43117806079098475
30935, 0.4300924184627114
318458, 0.42980324068708986
30925, 0.4298112064612013
317857, 0.42918775999508063
31069, 0.42913662904720529
318362, 0.42846836732581584
30975, 0.42855433972201717
318130, 0.42768585514560953
30973, 0.42732882285424134
318270, 0.42715542656488958
30832, 0.42638390745430232
318354, 0.42662353783673196
30893, 0.42600272549892026
318894, 0.42606516253315752
30887, 0.42563019673649283
318168, 0.42514011685229836
30914, 0.42483178106186131
317915, 0.42490528402845201
31047, 0.42453981035250971
318148, 0.42438132660111749
30888, 0.42440238480554177
317926, 0.42427550850608448
30898, 0.42368147291884339
318438, 0.42321909159423637
30859, 0.42370687441976829
317439, 0.4233344130514598
30959, 0.42302518634323538
317578, 0.42248881722856158
30894, 0.42324348417865676
318593, 0.42230274097054138
31008, 0.42231966857916292
318352, 0.42226653380800661
31004, 0.42296808769601113
317743, 0.4215570991413421
30856, 0.42213442165986992
318141, 0.42136060444687884
30936, 0.42167760456958386
317566, 0.42140513835359156
30883, 0.42132113484867972
317229, 0.42098349048132266
30945, 0.42060628890779089
317565, 0.42083076992785329
30918, 0.42003602125521589
318101, 0.42013083556919362
30911, 0.42030175754192822
317763, 0.41967774303873717
30877, 0.4205533586403592
317681, 0.41924931336629934
30871, 0.41987766328371706
317543, 0.42011023076382237
30891, 0.42082438663077154
317880, 0.41945890822391518
30904, 0.41942831875280578
318133, 0.41961544335428252
30988, 0.41856613811200477
317544, 0.41991475624449504
30829, 0.41863689131601917
318554, 0.41902273988562
30821, 0.41893546482656058
318768, 0.4191073160050639
30927, 0.41818756133131241
317451, 0.41868670707231315
31021, 0.41943327307475864
318085, 0.41816764434626075
30981, 0.41806966528805056
317625, 0.41798842712306539
30856, 0.41856421959511314
318373, 0.41821096758048193
30872, 0.41766287335182528
318420, 0.41773957394208805
30899, 0.41782299669834921
318399, 0.41758727138202911
30929, 0.41729965277475689
317502, 0.41792204457283244
30921, 0.41766040561603457
318623, 0.41826853308897494
30871, 0.41687632516745721
317467, 0.41727260513546094
30805, 0.41665424128281181
317290, 0.41771433617682696
30927, 0.41798153223847284
318116, 0.4173032580980171
30854, 0.41623127840021668
318118, 0.41706408481993973
30885, 0.41633209637948154
317855, 0.41659850503099977
31027, 0.41776521339763217
318602, 0.41727481755477791
30996, 0.41693430200113618
318056, 0.41758599154475462
30941, 0.41736151480362838
317628, 0.41711645570451006
30810, 0.4162673213668171
318306, 0.41723296358677986
30957, 0.41680799945274383
318197, 0.41688654256273794
30891, 0.41699107634799115
317187, 0.41643083216164978
30912, 0.41683464449011942
317958, 0.41640670066991448
30882, 0.41658843817375546
317840, 0.41699911379804833
30913, 0.41745512377993965
317656, 0.41676696939676883
30949, 0.41656611726212295
318617, 0.41674992521894194
30982, 0.41705008112643266
318033, 0.41658645792671689
30902, 0.41613568752021135
311063, 0.41574456871122933
30198, 0.41803425272193584
310751, 0.41537868758929353
30147, 0.41595221096085022
310141, 0.41443332670927135
