Time Taken(s), Train Losses
114363, 0.68240883305206756
346261, 0.67222189380460085
52442, 0.66254488505467068
321838, 0.65328467855602568
33349, 0.64450928748080094
323083, 0.63627985322005265
34112, 0.62851225304027469
322714, 0.6204439702713771
33853, 0.61328885701370284
322877, 0.60615756152349132
33352, 0.59936781352491264
320402, 0.59307157337048722
33554, 0.58708126308331188
323162, 0.58122188742194436
33363, 0.57551506446688783
322711, 0.57033287610833705
33782, 0.56520899769606159
321970, 0.5598753071542133
33350, 0.55481704455669489
320762, 0.55052101330021497
33334, 0.54636243151934727
322439, 0.54173544727330858
34012, 0.53788762877934893
319160, 0.53452037207691616
33325, 0.52946892383055655
324195, 0.52624764344579833
34106, 0.52235306411465254
320576, 0.51873755360057339
34139, 0.51539675930887108
320838, 0.51255610626146286
34151, 0.5096710101762274
321811, 0.50663338259227109
34128, 0.50365742887040021
321647, 0.50084154126691038
34221, 0.49847929406552477
321462, 0.49572363308562656
33960, 0.49321169800914227
323815, 0.49090443766881919
33870, 0.48879708509937769
320008, 0.48601192216842309
33688, 0.48467842409395478
322961, 0.4819987012464968
33412, 0.48004706491437721
321593, 0.4785092259355187
33329, 0.47634340761184613
322491, 0.47457736524015015
33294, 0.47241668480243582
320775, 0.47111854191200953
33364, 0.46953860418851862
322351, 0.46854418367747952
34091, 0.46640750487497296
325021, 0.46476508318493409
33418, 0.46323568397504777
320995, 0.46175885578034537
34113, 0.46064939181549591
322343, 0.46010233134971479
33383, 0.45799805897524892
320965, 0.45755119931022531
34126, 0.45585390715121965
321804, 0.45467789983781198
33273, 0.45379724175228198
319043, 0.4527509500159056
33337, 0.45169045523139895
322580, 0.45016651789387341
33325, 0.44957319449467109
320280, 0.44833824935206701
33327, 0.44757377702135953
322929, 0.44665967554820091
33353, 0.44595584784236819
320484, 0.44502068358209546
34111, 0.44420098116768125
321591, 0.44319729364732852
33387, 0.44224292721092656
320607, 0.44186529012410286
33285, 0.44171979400012351
322323, 0.44098601879185906
33304, 0.44020342580569732
321531, 0.43958446310871119
33298, 0.43880722452398691
319520, 0.43840117979347892
33355, 0.43786417754190399
320795, 0.43705629111636202
33797, 0.43633861011127256
320693, 0.43577111415876635
33376, 0.43588014712354312
320810, 0.43484477128754317
33366, 0.4343622311514358
321394, 0.43370690867678541
33309, 0.43315358181117303
321392, 0.43339090405428282
33394, 0.4328033586979082
322586, 0.43146418900228423
33276, 0.43121871078149254
321010, 0.43105433202317156
34077, 0.43048529296956184
320953, 0.42991050184500629
33335, 0.43018227306537138
321212, 0.42982821412398892
33342, 0.4293623372750982
322510, 0.42908172241074077
34147, 0.4282744198371945
321482, 0.42805195956855824
34081, 0.42796208226134907
320161, 0.42750523181260885
33315, 0.42724885381933025
321938, 0.426672176402832
33332, 0.42672071489294872
320827, 0.42620572059285966
34060, 0.42631731322266875
321868, 0.42582569294299899
33396, 0.42590933430537203
323217, 0.42472593429162725
33262, 0.42454253706540046
321104, 0.42514010101779498
34055, 0.42433533179367228
319502, 0.42477851969455027
33400, 0.42426093771514728
321648, 0.42376372258676853
34103, 0.42360823598266484
320658, 0.42423779952511476
34110, 0.42396211773186188
321140, 0.42359475715450001
33968, 0.42312101575420746
321758, 0.42319303503936578
34084, 0.4223901584151718
322851, 0.42244127648825436
33345, 0.42251722617224885
320153, 0.42220031967746124
34082, 0.4217730843199457
321752, 0.42154045213674796
33328, 0.42220683011901544
322366, 0.42148062057924518
33315, 0.42093901106432907
320778, 0.42127699768059623
34027, 0.42179790938847583
319994, 0.42150511671871416
34069, 0.42100412456399428
322145, 0.42093224989801226
34024, 0.42074456454846043
320490, 0.42052309930237808
33324, 0.41991403572187913
322692, 0.41996158591267496
33421, 0.42004762605086438
321851, 0.41996939480413775
33313, 0.4198660799160836
323252, 0.41821067026762215
33358, 0.41928932610407044
323723, 0.41959429018305328
33380, 0.41952000547635759
323021, 0.41946676262333493
33297, 0.41884724327322731
323460, 0.41921333096506674
33472, 0.41922719013711929
319987, 0.41866240786116882
33450, 0.41813929669706457
322369, 0.41803319684088669
34164, 0.41859263685864662
321737, 0.41841559624213565
34093, 0.41771341868518508
322454, 0.41872650980397852
33287, 0.41802659094693295
322422, 0.41887871752924688
33454, 0.41863459034787953
319796, 0.41861319431434868
34049, 0.41801367484583252
320463, 0.41839740443168794
33615, 0.41861083373350327
322223, 0.41812880213479964
33237, 0.41765529677357593
319437, 0.4178523670123514
33402, 0.41732542363050451
323212, 0.41867766344676122
34100, 0.4182738526703087
319458, 0.41774302038487099
33329, 0.41802718638036396
321548, 0.41831204955114043
33390, 0.41721037478651324
321877, 0.41652727413643831
33960, 0.41820158757988335
322271, 0.41604051209187054
33365, 0.41801942749583443
322153, 0.4171898697811951
33344, 0.41684657391777424
321745, 0.41747291788862362
33304, 0.41719822107429189
322104, 0.41759441249985929
33338, 0.41708490224924244
322156, 0.41707941759375489
33548, 0.41698667576225151
321615, 0.41698900855705956
33964, 0.41626938177125389
320054, 0.41678415052467555
34086, 0.41682751136428409
321617, 0.4170569291387739
33349, 0.41598011340313412
319112, 0.41668094620807494
33373, 0.41681966893428679
321169, 0.41611767112765707
33278, 0.4157994903503599
319663, 0.41651787740681401
