Time Taken(s), Train Losses
158442, 0.68240883491267956
359628, 0.63743782020049466
327086, 0.61218868035868024
326285, 0.59463907387849368
326310, 0.5811249286917739
326328, 0.57121488652972907
325656, 0.56209379901250234
326032, 0.55500805099897343
325609, 0.54845629365898962
326643, 0.54308198811932429
326010, 0.53822635033267996
326558, 0.53320296442284509
325849, 0.52941884160587316
326384, 0.52534534819139123
326055, 0.52180003539646824
325701, 0.51833506480969582
325855, 0.51494440251442675
325425, 0.51204367490677871
325747, 0.50912573759638569
326488, 0.50638185233687905
325687, 0.50424641253933944
325648, 0.5010036727371322
325526, 0.49844628297712379
326409, 0.49697971868329016
325722, 0.49479227705006701
326470, 0.49231184093841829
326405, 0.49107728890801416
326697, 0.48914951230444415
326535, 0.48733348816903099
326593, 0.48526229508316726
326237, 0.48350285632916346
326151, 0.48228400190393361
326316, 0.48038486614906056
326916, 0.47955878303470234
326333, 0.47761935414853773
326152, 0.47657637292425775
325629, 0.47540806383614803
326011, 0.47394015229377129
325451, 0.47221212963692416
325639, 0.47126687019191144
325888, 0.46981195681008642
325885, 0.4687199172077563
325736, 0.46755187381857233
325765, 0.46660966930771625
325437, 0.46524778165279235
325477, 0.46438142878118194
325340, 0.46395638056984445
325478, 0.46221752605351096
325392, 0.4613046367848857
325948, 0.45968859338180373
325799, 0.4595269588503697
325835, 0.45838811280713909
325369, 0.45757421060124304
325514, 0.45681150553234867
324996, 0.45579539810472874
325843, 0.45523476234602783
325226, 0.45423732029847796
325519, 0.45373054818087089
325399, 0.45235841613870265
325912, 0.45200341075846995
325917, 0.45085118017881165
325938, 0.45047682087669955
325999, 0.44942287670878273
325652, 0.44902214813181773
325737, 0.44792205122442152
325922, 0.44680159052163726
325271, 0.4464107606366996
325883, 0.44635094653224272
325566, 0.44581471782792798
325744, 0.44491666388213169
325784, 0.443662069537891
325477, 0.44391102570579
325852, 0.44314413084778004
325868, 0.44260850912607874
325400, 0.44218488275048851
326122, 0.44116429743131258
325692, 0.4413217157885031
325829, 0.43992791790403929
325790, 0.43983328271976752
329303, 0.43905619433321619
330571, 0.43829291057270603
326173, 0.43880254784419404
325764, 0.43772977001951341
326182, 0.4377937745277703
325492, 0.43682154782455668
325826, 0.43665271712601433
325899, 0.4361803432922966
325807, 0.4353124605285128
325891, 0.43506241152483183
326068, 0.43444658509214629
325429, 0.43485315753304038
325720, 0.43402252875048486
325650, 0.433679564259071
325622, 0.43324756728564973
326068, 0.43261340234912393
326196, 0.43212007306521205
325809, 0.43225967676813876
325700, 0.43193949431624473
325221, 0.43084219030937398
325998, 0.4304587959905154
325725, 0.43050257933894537
325916, 0.42989139990495451
325721, 0.42982356518500964
326303, 0.42937107969513383
325118, 0.4287939452501327
325663, 0.42842803341035307
325255, 0.4277774582659909
325438, 0.42792665241505523
325515, 0.4282169627774412
325269, 0.42712913123104879
325310, 0.42746123731785168
325661, 0.42664018798309122
325271, 0.4266138535574
325558, 0.42643424749604142
325505, 0.42591311483522099
325607, 0.42612807493262717
325549, 0.42564947141653298
325766, 0.425123357335491
325572, 0.42511223119663155
325834, 0.42390147172607962
325568, 0.42433674388094356
325663, 0.42406155851608457
325571, 0.42371171183737349
323643, 0.42324663162428711
323036, 0.4229229156194052
